Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1639568941,2021-12-15T11:49:01Z,AZU4611,"-22.914816,-43.164204",0,0,0
1639568956,2021-12-15T11:49:16Z,AZU4611,"-22.91502,-43.164009",0,8,135
1639568963,2021-12-15T11:49:23Z,AZU4611,"-22.915234,-43.163795",0,9,135
1639568970,2021-12-15T11:49:30Z,AZU4611,"-22.915443,-43.163578",0,10,137
1639568976,2021-12-15T11:49:36Z,AZU4611,"-22.915661,-43.163349",0,10,137
1639568982,2021-12-15T11:49:42Z,AZU4611,"-22.915878,-43.163136",0,11,135
1639568989,2021-12-15T11:49:49Z,AZU4611,"-22.916142,-43.162861",0,13,135
1639568994,2021-12-15T11:49:54Z,AZU4611,"-22.916359,-43.162647",0,10,140
1639569018,2021-12-15T11:50:18Z,AZU4611,"-22.91613,-43.162476",0,9,357
1639569022,2021-12-15T11:50:22Z,AZU4611,"-22.91592,-43.162498",0,21,357
1639569024,2021-12-15T11:50:24Z,AZU4611,"-22.915638,-43.16251",0,33,357
1639569026,2021-12-15T11:50:26Z,AZU4611,"-22.915237,-43.162537",0,45,357
1639569027,2021-12-15T11:50:27Z,AZU4611,"-22.915037,-43.162548",0,49,357
1639569029,2021-12-15T11:50:29Z,AZU4611,"-22.914396,-43.162586",0,62,357
1639569030,2021-12-15T11:50:30Z,AZU4611,"-22.914129,-43.162601",0,67,357
1639569037,2021-12-15T11:50:37Z,AZU4611,"-22.911346,-43.162792",0,98,357
1639569050,2021-12-15T11:50:50Z,AZU4611,"-22.904022,-43.163284",225,125,355
1639569056,2021-12-15T11:50:56Z,AZU4611,"-22.900589,-43.163536",450,121,356
1639569062,2021-12-15T11:51:02Z,AZU4611,"-22.897276,-43.163757",650,121,357
1639569096,2021-12-15T11:51:36Z,AZU4611,"-22.880402,-43.153446",1325,149,69
1639569106,2021-12-15T11:51:46Z,AZU4611,"-22.879494,-43.146107",1475,165,90
1639569121,2021-12-15T11:52:01Z,AZU4611,"-22.880219,-43.132523",1600,183,94
1639569133,2021-12-15T11:52:13Z,AZU4611,"-22.881088,-43.121536",1875,184,95
1639569139,2021-12-15T11:52:19Z,AZU4611,"-22.881588,-43.115742",1975,186,94
1639569146,2021-12-15T11:52:26Z,AZU4611,"-22.882004,-43.109901",2125,185,94
1639569155,2021-12-15T11:52:35Z,AZU4611,"-22.882507,-43.101662",2350,184,92
1639569164,2021-12-15T11:52:44Z,AZU4611,"-22.882938,-43.092602",2550,185,92
1639569176,2021-12-15T11:52:56Z,AZU4611,"-22.883497,-43.081562",2850,185,93
1639569183,2021-12-15T11:53:03Z,AZU4611,"-22.883823,-43.075459",2975,186,93
1639569189,2021-12-15T11:53:09Z,AZU4611,"-22.884102,-43.069866",3100,186,93
1639569204,2021-12-15T11:53:24Z,AZU4611,"-22.884842,-43.05537",3375,188,93
1639569216,2021-12-15T11:53:36Z,AZU4611,"-22.8853,-43.044132",3625,188,89
1639569219,2021-12-15T11:53:39Z,AZU4611,"-22.885162,-43.041138",3700,187,86
1639569222,2021-12-15T11:53:42Z,AZU4611,"-22.884933,-43.03809",3750,187,85
1639569228,2021-12-15T11:53:48Z,AZU4611,"-22.884521,-43.032448",3850,188,85
1639569231,2021-12-15T11:53:51Z,AZU4611,"-22.884293,-43.029701",3875,190,85
1639569235,2021-12-15T11:53:55Z,AZU4611,"-22.884056,-43.026428",3900,192,85
1639569241,2021-12-15T11:54:01Z,AZU4611,"-22.883652,-43.020363",3950,196,85
1639569247,2021-12-15T11:54:07Z,AZU4611,"-22.883219,-43.014576",4025,199,85
1639569253,2021-12-15T11:54:13Z,AZU4611,"-22.882782,-43.008327",4075,202,85
1639569262,2021-12-15T11:54:22Z,AZU4611,"-22.882095,-42.99894",4225,203,85
1639569271,2021-12-15T11:54:31Z,AZU4611,"-22.881403,-42.989552",4450,198,85
1639569283,2021-12-15T11:54:43Z,AZU4611,"-22.880564,-42.977955",4850,186,85
1639569290,2021-12-15T11:54:50Z,AZU4611,"-22.880146,-42.972057",5000,186,85
1639569303,2021-12-15T11:55:03Z,AZU4611,"-22.879257,-42.96014",5200,188,85
1639569315,2021-12-15T11:55:15Z,AZU4611,"-22.878424,-42.948559",5400,191,85
1639569327,2021-12-15T11:55:27Z,AZU4611,"-22.877563,-42.936916",5575,192,85
1639569339,2021-12-15T11:55:39Z,AZU4611,"-22.876694,-42.924782",5750,194,85
1639569355,2021-12-15T11:55:55Z,AZU4611,"-22.875584,-42.909801",6025,195,85
1639569370,2021-12-15T11:56:10Z,AZU4611,"-22.874496,-42.89492",6250,196,85
1639569382,2021-12-15T11:56:22Z,AZU4611,"-22.873629,-42.882946",6425,198,85
1639569394,2021-12-15T11:56:34Z,AZU4611,"-22.872698,-42.870483",6625,199,85
1639569407,2021-12-15T11:56:47Z,AZU4611,"-22.871796,-42.858067",6900,195,85
1639569419,2021-12-15T11:56:59Z,AZU4611,"-22.870928,-42.846119",7100,196,85
1639569431,2021-12-15T11:57:11Z,AZU4611,"-22.869345,-42.834015",7275,196,75
1639569435,2021-12-15T11:57:15Z,AZU4611,"-22.868546,-42.831051",7350,196,72
1639569437,2021-12-15T11:57:17Z,AZU4611,"-22.867622,-42.828369",7400,195,69
1639569444,2021-12-15T11:57:24Z,AZU4611,"-22.865295,-42.822926",7500,194,62
1639569446,2021-12-15T11:57:26Z,AZU4611,"-22.864059,-42.820461",7550,194,61
1639569449,2021-12-15T11:57:29Z,AZU4611,"-22.862823,-42.817966",7625,193,61
1639569456,2021-12-15T11:57:36Z,AZU4611,"-22.860077,-42.812424",7725,194,62
1639569459,2021-12-15T11:57:39Z,AZU4611,"-22.858824,-42.809856",7750,195,62
1639569461,2021-12-15T11:57:41Z,AZU4611,"-22.857708,-42.807514",7800,195,62
1639569474,2021-12-15T11:57:54Z,AZU4611,"-22.852448,-42.796783",8000,193,62
1639569486,2021-12-15T11:58:06Z,AZU4611,"-22.847233,-42.786102",8175,195,62
1639569498,2021-12-15T11:58:18Z,AZU4611,"-22.842178,-42.775669",8350,195,61
1639569514,2021-12-15T11:58:34Z,AZU4611,"-22.835541,-42.762135",8575,197,62
1639569526,2021-12-15T11:58:46Z,AZU4611,"-22.830185,-42.751198",8750,199,62
1639569538,2021-12-15T11:58:58Z,AZU4611,"-22.824934,-42.740429",8925,199,62
1639569550,2021-12-15T11:59:10Z,AZU4611,"-22.819611,-42.729576",9075,201,62
1639569563,2021-12-15T11:59:23Z,AZU4611,"-22.814255,-42.718491",9250,199,63
1639569575,2021-12-15T11:59:35Z,AZU4611,"-22.810455,-42.707104",9425,200,72
1639569593,2021-12-15T11:59:53Z,AZU4611,"-22.80501,-42.689362",9700,201,71
1639569606,2021-12-15T12:00:06Z,AZU4611,"-22.801437,-42.677689",9825,202,71
1639569624,2021-12-15T12:00:24Z,AZU4611,"-22.796026,-42.659962",10050,203,71
1639569639,2021-12-15T12:00:39Z,AZU4611,"-22.791557,-42.645264",10250,203,72
1639569651,2021-12-15T12:00:51Z,AZU4611,"-22.788019,-42.633564",10450,202,71
1639569663,2021-12-15T12:01:03Z,AZU4611,"-22.784433,-42.621967",10600,202,71
1639569678,2021-12-15T12:01:18Z,AZU4611,"-22.78006,-42.607479",10775,202,71
1639569691,2021-12-15T12:01:31Z,AZU4611,"-22.776306,-42.595242",10900,204,71
1639569706,2021-12-15T12:01:46Z,AZU4611,"-22.771683,-42.580162",11000,210,71
1639569721,2021-12-15T12:02:01Z,AZU4611,"-22.766884,-42.564495",11000,220,71
1639569733,2021-12-15T12:02:13Z,AZU4611,"-22.762974,-42.551575",11000,227,71
1639569745,2021-12-15T12:02:25Z,AZU4611,"-22.75897,-42.538502",11000,232,71
1639569761,2021-12-15T12:02:41Z,AZU4611,"-22.753942,-42.521667",11000,229,71
1639569776,2021-12-15T12:02:56Z,AZU4611,"-22.748795,-42.504955",11000,224,71
1639569788,2021-12-15T12:03:08Z,AZU4611,"-22.744858,-42.492271",11000,223,71
1639569800,2021-12-15T12:03:20Z,AZU4611,"-22.740967,-42.479435",11000,221,71
1639569815,2021-12-15T12:03:35Z,AZU4611,"-22.735973,-42.463226",11000,221,71
1639569828,2021-12-15T12:03:48Z,AZU4611,"-22.732086,-42.450474",11000,220,71
1639569840,2021-12-15T12:04:00Z,AZU4611,"-22.728199,-42.437695",11000,219,71
